slug,title,h1,desc,benefits,faq_q1,faq_a1,faq_q2,faq_a2
pack-prompts-excel,Pack Prompts Excel: Automatiza tu trabajo en 7 días,Automatizá Excel con IA - 200+ Prompts Listos para Analistas,"Llevá tu productividad con Excel al siguiente nivel. Este pack incluye más de 200 prompts probados para ChatGPT y Claude que te permiten automatizar tareas, analizar datos y crear reportes profesionales en minutos. Ideal para analistas, contadores y gerentes.",Ahorro de 15+ horas semanales|Eliminación del 90% de errores manuales|Plantillas listas para usar|Casos reales de empresas|Actualizaciones gratuitas por 1 año|Soporte por Telegram,¿Funciona con Excel Online?,"Sí, los prompts funcionan con Excel de escritorio, Excel Online y Google Sheets. Incluye ejemplos con capturas de pantalla.",¿Necesito conocimientos de programación?,"No. Los prompts están escritos en lenguaje natural. Solo necesitás saber copiar, pegar y seguir instrucciones básicas."
embudo-ia-pyme,Embudo de Ventas IA: Sistema completo para PyMEs,Sistema Completo de Ventas Automatizado con IA para PyMEs,"Transformá tu PyME con un embudo de ventas que trabaja 24/7. Incluye templates de landing pages, secuencias de email automatizadas con IA, scripts para chatbots y análisis predictivo de conversión. Sin necesidad de programar.",Plantillas listas (Unbounce/Leadpages)|Scripts de chatbot (ManyChat/Tidio)|Secuencias de email IA|Calculadora de ROI|Implementación en 30 días|Grupo privado de alumnos,¿Necesito conocimientos técnicos?,"No. Todo viene con video tutoriales paso a paso. Si sabés usar Word, podés implementar esto.",¿Cuánto tiempo lleva implementarlo?,"Entre 2 y 5 días dependiendo de tu negocio. Incluimos plan de implementación de 30 días con checkpoints."
curso-seo-local,Curso SEO Local: Dominá Google Maps en 2025,Dominá Google Maps y Búsquedas Locales para tu Negocio,"El 80% de las búsquedas locales terminan en una compra en menos de 24 horas. Aprendé a posicionar tu negocio en el #1 de Google Maps con técnicas probadas: optimización de Google Business Profile, construcción de reseñas, link building local y análisis de competencia.",Posicionamiento garantizado (caso real)|Checklist de 47 puntos SEO|Plantillas de outreach local|Grupo privado de alumnos|Análisis de competencia completo|Soporte por WhatsApp,¿Sirve para cualquier rubro?,"Sí, funciona para restaurantes, consultorios, talleres, tiendas físicas, servicios a domicilio, etc.",¿Cuánto tarda en verse resultados?,"Los primeros resultados (aparecer en Maps) se ven en 7-14 días. Llegar al top 3 puede tomar 60-90 días según competencia."
pack-redes-sociales,Pack Redes Sociales: 500+ Posts Listos para Instagram,500+ Posts Listos para Instagram | Facebook | LinkedIn,"Dejá de perder horas pensando qué publicar. Este pack incluye 500+ posts diseñados profesionalmente en Canva (editables), con copy persuasivo ya redactado. Categorías: motivacional, educativo, venta suave, engagement. Actualizaciones mensuales incluidas.",Diseños Canva editables|Copy persuasivo incluido|Calendario de contenido 90 días|Hashtags investigados por nicho|100 historias de Instagram|Actualizaciones mensuales,¿Puedo editar los diseños?,"Sí, todos los posts vienen en formato Canva editable. Podés cambiar colores, logos, textos, etc.",¿Incluye historias de Instagram?,"Sí, cada pack trae 100 historias adicionales con templates de encuestas, preguntas y CTAs."
automatizacion-email-ia,Automatización Email Marketing: Secuencias que Venden con IA,Escribí Secuencias de Email que Venden con IA para tu Negocio,"Más del 70% de los carritos abandonados se recuperan con una buena secuencia de emails. Aprendé a usar IA (ChatGPT/Claude) para escribir secuencias de bienvenida, nurturing, recuperación de carritos y reactivación. Incluye 25 secuencias listas para adaptar.",25 secuencias probadas|Plantillas Mailchimp/ActiveCampaign|Análisis de métricas con IA|Generador de asuntos A/B|Casos de estudio reales|Soporte por email,¿Funciona con cualquier plataforma de email?,"Sí, las secuencias son independientes de la plataforma. Incluimos exportación para Mailchimp, ActiveCampaign, GetResponse, ConvertKit.",¿Necesito una lista grande?,"No. Estas secuencias funcionan desde 100 suscriptores. Lo importante es la segmentación, no el tamaño."
pack-copywriting-ventas,Pack Copywriting: 50 Fórmulas de Ventas Probadas,50 Fórmulas de Copywriting que Convierten en 2025 para Emprendedores,"El copy es el 80% del éxito de una venta online. Este pack incluye 50 fórmulas probadas (AIDA, PAS, BAB, 4Ps, etc.) con ejemplos reales, plantillas para landing pages, ads de Facebook/Google y emails de venta. Bonus: análisis de copy de campañas famosas.",50 fórmulas con ejemplos|Plantillas de landing pages|Copy para ads (FB/Google)|Swipe file de 100 anuncios top|Casos de estudio detallados|Grupo privado de copywriters,¿Es solo teoría o incluye ejemplos?,"Todo ejemplo. Cada fórmula viene con 3-5 casos reales aplicados a diferentes nichos (salud, finanzas, educación, etc.).",¿Sirve para productos físicos o solo digitales?,"Sirve para ambos. Las fórmulas son universales, solo cambia el ángulo emocional según el producto."
guia-chatgpt-negocios,Guía ChatGPT para Negocios: De Cero a Experto en 7 Días,Dominá ChatGPT para tu Negocio en 7 Días (Sin Tecnicismos),"ChatGPT puede ahorrarte 15+ horas semanales si sabés cómo usarlo. Esta guía práctica te enseña a aplicar IA en: atención al cliente, generación de contenido, análisis de datos, investigación de mercado y automatización de reportes. Sin tecnicismos, solo casos reales.",100+ prompts para negocios|Casos de estudio reales|Automatizaciones paso a paso|Plantillas de GPTs personalizados|Soporte por Telegram|Actualizaciones trimestrales,¿Necesito la versión paga de ChatGPT?,"No obligatoriamente. El 80% de los casos funciona con la versión gratuita. Indicamos cuándo vale la pena el upgrade.",¿Incluye soporte si me trabo?,"Sí, acceso a grupo privado de Telegram con respuestas en menos de 24 horas."
funnel-afiliados-hotmart,Funnel de Afiliados Hotmart: Estructura Completa,Ganá Comisiones como Afiliado de Hotmart sin Audiencia Grande,"No necesitás miles de seguidores para ganar como afiliado. Este funnel probado incluye: selección de productos rentables, landing pages optimizadas, secuencias de email, estrategia de anuncios low-cost y análisis de conversión. Caso real: $2,400 en 30 días con $300 de inversión.",Selección de productos (checklist)|Landing pages Unbounce/Elementor|Secuencias email 7/14/30 días|Estrategia de ads ($10/día)|Casos de estudio reales|Grupo privado de afiliados,¿Necesito invertir en anuncios?,"Depende. El funnel incluye estrategias orgánicas (SEO, Pinterest, YouTube) y pagas. Podés empezar sin inversión.",¿Qué comisión puedo esperar?,"Depende del producto (15-80%). El curso enseña a calcular ROI y elegir productos con mejor conversión, no solo mejor comisión."
pack-ia-atencion-cliente,Pack IA para Atención al Cliente: Chatbots + Templates,Automatizá Atención al Cliente con IA (Sin Programar) para PyMEs,"El 60% de las consultas de clientes son repetitivas. Este pack te enseña a crear chatbots con IA (ChatGPT API, ManyChat, Tidio) que responden 24/7. Incluye templates para: FAQ, seguimiento de pedidos, agendamiento de citas y recuperación de carritos.",Templates ManyChat/Tidio listos|Integración WhatsApp Business|Scripts de ChatGPT API|Dashboard de métricas|Casos de estudio reales|Soporte técnico incluido,¿Funciona con WhatsApp?,"Sí, incluye integración con WhatsApp Business API (via Twilio o Zenvia). Tutorial paso a paso incluido.",¿El bot puede procesar pagos?,"No directamente por seguridad, pero puede enviar links de pago de Mercado Pago/Stripe y confirmar el pago."
masterclass-seo-contenido,Masterclass SEO de Contenido: Posicioná sin Backlinks,Posicioná en Google sin Backlinks (Estrategia 2025) para Contenido,"El SEO cambió: Google prioriza contenido útil sobre links. Esta masterclass te enseña a posicionar con: búsqueda de keywords long-tail, análisis de intención de búsqueda, optimización on-page avanzada y contenido estructurado (FAQ, HowTo, etc.). Caso real: 8,000 visitas/mes en 90 días.",Keyword research avanzado|Plantillas de contenido SEO|Optimización on-page (checklist)|Análisis de competencia (herramientas)|Casos de estudio reales|Grupo privado de SEO,¿Necesito herramientas pagas como Ahrefs?,"No obligatorio. Enseñamos a usar herramientas gratuitas (Google Search Console, Ubersuggest free, AnswerThePublic).",¿Cuánto contenido necesito crear?,"Depende de la competencia. En nichos poco competitivos: 10-15 artículos bien optimizados. En competitivos: 30-50."
